50,0,40,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280.66,360.25,435.29,504.89,568.88,627.69,682.11,733,781.16,827.23,871.72,915.07,957.68,999.74,1041.3,1082.2,1122.5,1162.3,1201.4,1239.7,1277.1,1314,1350.6,1386.1,1419.5,1453.2,1490.6,1530.2,1568.6,1609,1645.8,1671.4,1697.6,1738.8,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792
276.3,356.43,431.84,501.56,565.45,624.02,678.1,728.61,776.39,822.08,866.18,909.17,951.43,993.18,1034.4,1075,1115,1154.4,1193.2,1231.1,1268.1,1304.5,1340.8,1375.8,1408.4,1441.1,1478.1,1517.5,1554.8,1595,1632.1,1657,1682.5,1724.1,1780.9,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792
272,352.71,428.48,498.32,562.12,620.43,674.16,724.28,771.67,816.97,860.69,903.29,945.21,986.65,1027.6,1067.9,1107.5,1146.6,1185,1222.6,1259.1,1295,1330.9,1365.6,1397.4,1428.9,1465.4,1504.7,1540.8,1580.6,1617.9,1642.4,1667.3,1709.5,1767.8,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792
267.77,349.07,425.23,495.19,558.88,616.92,670.28,720,766.99,811.91,855.23,897.46,939.02,980.15,1020.8,1060.8,1100,1138.7,1176.8,1214.1,1250.1,1285.4,1321,1355.4,1386.3,1416.6,1452.7,1492,1526.6,1565.5,1603.2,1627.6,1652.3,1695.2,1754.4,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792
263.59,345.53,422.08,492.17,555.73,613.48,666.46,715.77,762.36,806.88,849.82,891.66,932.87,973.68,1014,1053.7,1092.6,1130.9,1168.7,1205.5,1241,1275.9,1311.2,1345.3,1375.3,1404.3,1439.8,1479.2,1512.3,1549.9,1587.7,1612.5,1637.7,1681.7,1740.9,1784,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792
259.48,342.08,419.05,489.25,552.68,610.12,662.7,711.59,757.78,801.91,844.45,885.89,926.75,967.25,1007.3,1046.6,1085.2,1123.1,1160.6,1197.1,1232,1266.3,1301.3,1335.2,1364.4,1391.8,1426.9,1466.5,1497.9,1533.9,1571.4,1597.3,1623.9,1669.1,1727.6,1768.9,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792
255.44,338.72,416.13,486.44,549.71,606.83,659,707.47,753.24,796.98,839.12,880.17,920.67,960.86,1000.6,1039.6,1077.8,1115.4,1152.5,1188.6,1223.1,1256.7,1291.4,1325.2,1353.5,1379.3,1413.8,1453.8,1483.6,1517.8,1554.7,1582.2,1611,1657.7,1713.9,1753.1,1785.4,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792
251.46,335.47,413.32,483.74,546.84,603.62,655.36,703.38,748.75,792.1,833.84,874.48,914.62,954.5,993.94,1032.6,1070.5,1107.6,1144.4,1180.2,1214.1,1247.1,1281.4,1315.2,1342.7,1366.8,1400.6,1441,1469.5,1501.9,1537.8,1567.2,1599.6,1647.7,1699.5,1736.6,1770.4,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792
247.54,332.32,410.64,481.16,544.07,600.48,651.78,699.35,744.3,787.27,828.6,868.83,908.61,948.19,987.34,1025.7,1063.2,1099.9,1136.3,1171.8,1205.2,1237.4,1271.4,1305.3,1332,1354.3,1387.4,1428,1456,1486.6,1521.1,1552.7,1589.5,1638.6,1684.8,1719.8,1754.4,1782.4,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792
